City_ID,City,Country,Max Temp,Description,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date,Hotel Name
669,Weinan,CN,69.48,clear sky,34.5036,109.5089,68,0,2.35,2022-07-20 21:52:20,
670,Shwebo,MM,78.8,overcast clouds,22.5667,95.7,87,99,3.51,2022-07-20 21:52:21,
671,Hornepayne,CA,71.67,light rain,49.2138,-84.7705,88,97,4.72,2022-07-20 21:52:21,
672,Garca,BR,70.59,clear sky,-22.2106,-49.6561,49,2,6.13,2022-07-20 21:52:21,
675,Buta,CD,69.39,overcast clouds,2.7858,24.73,99,92,1.74,2022-07-20 21:52:22,
678,Sinnamary,GF,78.06,clear sky,5.3833,-52.95,82,7,7.47,2022-07-20 21:52:23,
682,Ano Kastritsion,GR,69.26,clear sky,38.2667,21.8333,42,0,4.56,2022-07-20 21:52:25,
683,Grand Gaube,MU,68.4,light rain,-20.0064,57.6608,75,94,8.99,2022-07-20 21:52:25,
684,Pital,CO,67.05,overcast clouds,2.2665,-75.8044,89,100,4.79,2022-07-20 21:52:25,
686,Manggar,ID,80.31,overcast clouds,-2.8833,108.2667,84,90,12.39,2022-07-20 21:52:26,
