City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,Cizre,37.3272,42.1903,87.17,15,0,3.85,TR,2022-07-12 22:42:15
323,Jiuquan,39.7432,98.5174,73.72,43,54,13.15,CN,2022-07-12 22:42:15
324,Sijunjung,-0.6876,100.9537,71.8,95,100,1.9,ID,2022-07-12 22:42:16
325,Aksarka,66.5606,67.7975,52.74,87,100,5.86,RU,2022-07-12 22:38:58
326,Sitka,57.0531,-135.33,55.29,76,100,8.05,US,2022-07-12 22:43:16
327,Kieta,-6.2167,155.6333,84.07,72,12,6.24,PG,2022-07-12 22:43:16
328,Tateyama,34.9833,139.8667,76.1,88,93,6.35,JP,2022-07-12 22:43:17
329,Isangel,-19.55,169.2667,77.11,88,75,2.3,VU,2022-07-12 22:43:17
330,Batagay-Alyta,67.8006,130.4114,62.73,60,20,5.66,RU,2022-07-12 22:43:17
331,Caravelas,-17.7125,-39.2481,69.82,81,23,4.27,BR,2022-07-12 22:39:47
332,Atikokan,48.7555,-91.6216,61.45,92,99,3.67,CA,2022-07-12 22:43:18
333,Zyryanka,65.75,150.85,76.35,61,100,13.94,RU,2022-07-12 22:43:19
334,Mbanza-Ngungu,-5.25,14.8667,68.18,69,10,6.04,CD,2022-07-12 22:43:19
335,Camana,-16.6228,-72.7111,59.94,88,77,5.08,PE,2022-07-12 22:43:19
336,Christchurch,-43.5333,172.6333,52.32,71,61,1.14,NZ,2022-07-12 22:41:35
337,Tambo,-14.8,-73.9167,37.67,38,49,3.96,PE,2022-07-12 22:43:20
338,Makakilo City,21.3469,-158.0858,82.72,62,75,17.27,US,2022-07-12 22:43:20
339,Morehead,37.2711,-87.1764,87.85,56,0,8.05,US,2022-07-12 22:43:20
340,Lorengau,-2.0226,147.2712,83.88,74,99,9.08,PG,2022-07-12 22:43:21
341,Surt,31.2089,16.5887,78.19,61,0,11.43,LY,2022-07-12 22:43:21
342,Half Moon Bay,37.4636,-122.4286,86.58,69,100,12.66,US,2022-07-12 22:43:22
343,Fethiye,36.6217,29.1164,78.67,44,0,5.88,TR,2022-07-12 22:43:22
344,Marsa Matruh,31.3525,27.2453,77.2,73,0,9.22,EG,2022-07-12 22:43:23
345,Shingu,33.7333,135.9833,81.95,73,35,0.49,JP,2022-07-12 22:39:15
346,Port Lincoln,-34.7333,135.8667,54.23,66,100,8.08,AU,2022-07-12 22:43:23
347,La Rioja,42.25,-2.5,65.98,53,2,6.11,ES,2022-07-12 22:43:23
348,Pilar,-9.5972,-35.9567,75.13,94,19,2.93,BR,2022-07-12 22:43:24
349,General Roca,-39.0333,-67.5833,48.94,48,39,7.56,AR,2022-07-12 22:43:24
350,Carutapera,-1.195,-46.02,75.52,92,88,6.31,BR,2022-07-12 22:43:24
351,Megion,61.0296,76.1136,53.62,81,100,5.48,RU,2022-07-12 22:43:25
352,Salalah,17.0151,54.0924,77.09,94,100,6.91,OM,2022-07-12 22:41:32
353,Praia Da Vitoria,38.7333,-27.0667,73.76,94,75,11.21,PT,2022-07-12 22:40:03
354,Fairbanks,64.8378,-147.7164,77.02,53,75,6.91,US,2022-07-12 22:39:09
355,Kapit,2.0167,112.9333,72.79,99,96,1.25,MY,2022-07-12 22:43:26
356,Swellendam,-34.0226,20.4417,49.8,64,0,5.7,ZA,2022-07-12 22:43:26
357,Khani,41.9563,42.9566,60.37,94,95,0.87,GE,2022-07-12 22:43:26
