City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
52,Beira,MZ,2022-07-20 21:36:04,-19.8436,34.8389,68.09,94,0,5.75,clear sky
53,Gold Coast,AU,2022-07-20 21:36:04,-28.0,153.4333,60.01,88,100,13.8,overcast clouds
54,Ambilobe,MG,2022-07-20 21:36:05,-13.2,49.05,70.23,64,18,9.48,few clouds
55,Cabo San Lucas,MX,2022-07-20 21:34:04,22.8909,-109.9124,97.61,49,0,17.27,clear sky
56,Klerksdorp,ZA,2022-07-20 21:36:05,-26.8521,26.6667,55.62,59,74,6.6,broken clouds
57,Mataura,NZ,2022-07-20 21:32:04,-46.1927,168.8643,39.47,88,100,2.84,overcast clouds
58,Asau,RO,2022-07-20 21:32:06,46.4333,26.4,70.72,61,19,5.55,few clouds
59,Bud,US,2022-07-20 21:36:06,39.447,-86.1758,93.18,59,3,14.9,clear sky
60,Sao Filipe,CV,2022-07-20 21:33:30,14.8961,-24.4956,76.51,88,75,5.82,broken clouds
61,Mahebourg,MU,2022-07-20 21:36:06,-20.4081,57.7,68.29,83,75,24.16,light intensity shower rain
62,Dutse,NG,2022-07-20 21:36:07,11.7594,9.3392,73.27,78,100,1.63,overcast clouds
63,Rikitea,PF,2022-07-20 21:30:56,-23.1203,-134.9692,73.35,75,0,3.98,clear sky
64,San Patricio,US,2022-07-20 21:36:07,28.017,-97.5169,98.19,50,19,20.96,few clouds
65,Kununurra,AU,2022-07-20 21:36:08,-15.7667,128.7333,55.38,88,83,0.0,broken clouds
66,Hilo,US,2022-07-20 21:32:11,19.7297,-155.09,85.28,90,100,5.75,light rain
67,New Norfolk,AU,2022-07-20 21:30:45,-42.7826,147.0587,34.92,89,4,2.39,clear sky
68,Lensk,RU,2022-07-20 21:36:08,60.7253,114.9278,60.44,97,100,0.81,overcast clouds
69,Mehamn,NO,2022-07-20 21:36:09,71.0357,27.8492,51.75,100,0,2.3,clear sky
70,Kaitangata,NZ,2022-07-20 21:34:38,-46.2817,169.8464,41.94,81,100,7.14,overcast clouds
71,Pacific Grove,US,2022-07-20 21:33:22,36.6177,-121.9166,80.24,80,20,11.5,few clouds
72,Albany,US,2022-07-20 21:34:39,42.6001,-73.9662,95.65,47,47,1.99,scattered clouds
73,Yar-Sale,RU,2022-07-20 21:33:34,66.8333,70.8333,48.11,76,7,9.53,clear sky
74,Saint George,US,2022-07-20 21:30:20,37.1041,-113.5841,109.8,15,0,11.5,clear sky
75,Carroll,US,2022-07-20 21:31:17,39.5501,-77.0164,92.01,53,0,5.01,clear sky
76,Anshun,CN,2022-07-20 21:36:10,26.25,105.9333,65.17,99,99,5.41,overcast clouds
77,Codrington,AU,2022-07-20 21:30:46,-38.2667,141.9667,38.19,80,0,7.81,clear sky
78,Neiafu,TO,2022-07-20 21:36:10,-18.65,-173.9833,79.48,73,40,9.22,scattered clouds
79,Warrnambool,AU,2022-07-20 21:36:11,-38.3833,142.4833,40.8,79,0,8.9,clear sky
80,Atambua,ID,2022-07-20 21:36:11,-9.1061,124.8925,69.73,90,100,4.7,overcast clouds
81,Leh,IN,2022-07-20 21:36:11,34.1667,77.5833,62.53,20,100,9.48,overcast clouds
82,Klaksvik,FO,2022-07-20 21:36:12,62.2266,-6.589,49.12,91,98,18.7,overcast clouds
83,Mount Isa,AU,2022-07-20 21:36:12,-20.7333,139.5,49.77,46,0,0.0,clear sky
84,Atuona,PF,2022-07-20 21:30:49,-9.8,-139.0333,77.74,74,8,15.12,clear sky
85,Nsukka,NG,2022-07-20 21:36:12,6.8561,7.3927,68.72,94,100,5.57,overcast clouds
86,Tuatapere,NZ,2022-07-20 21:36:13,-46.1333,167.6833,43.47,84,100,2.86,overcast clouds
87,Petropavlovsk-Kamchatskiy,RU,2022-07-20 21:36:13,53.0452,158.6483,52.39,100,100,2.24,overcast clouds
88,Saint-Augustin,CA,2022-07-20 21:36:14,51.226,-58.6502,56.91,87,100,14.16,overcast clouds
89,Tessalit,ML,2022-07-20 21:37:14,20.1986,1.0114,75.7,70,99,12.57,overcast clouds
90,Chokurdakh,RU,2022-07-20 21:33:24,70.6333,147.9167,45.36,67,89,8.75,overcast clouds
91,Lashio,MM,2022-07-20 21:37:15,22.9333,97.75,69.04,100,99,1.28,overcast clouds
92,Vinh,VN,2022-07-20 21:37:15,18.6667,105.6667,77.47,90,78,0.47,broken clouds
93,Yellowknife,CA,2022-07-20 21:30:23,62.456,-114.3525,68.52,49,75,10.36,broken clouds
94,Necochea,AR,2022-07-20 21:32:38,-38.5473,-58.7368,57.69,57,28,16.06,scattered clouds
95,Amboasary,MG,2022-07-20 21:37:16,-25.0333,46.3833,64.2,79,0,3.33,clear sky
96,Mashhad,IR,2022-07-20 21:37:16,36.297,59.6062,78.94,36,0,6.91,clear sky
97,Cockburn Town,TC,2022-07-20 21:37:17,21.4612,-71.1419,82.22,78,1,20.07,clear sky
98,Norman Wells,CA,2022-07-20 21:37:17,65.282,-126.8329,75.24,31,75,6.91,broken clouds
99,Chara,RU,2022-07-20 21:37:17,56.9064,118.2631,62.83,90,100,1.36,overcast clouds
100,Ankang,CN,2022-07-20 21:37:06,32.68,109.0172,70.47,86,0,0.69,clear sky
101,Hofn,IS,2022-07-20 21:37:18,64.2539,-15.2082,52.54,74,100,5.28,overcast clouds
102,Sao Joao Do Piaui,BR,2022-07-20 21:37:18,-8.3581,-42.2467,81.03,44,15,9.82,few clouds
103,Channel-Port Aux Basques,CA,2022-07-20 21:33:09,47.5702,-59.1367,59.68,95,100,25.84,overcast clouds
104,Luwuk,ID,2022-07-20 21:37:19,-0.9516,122.7875,75.7,85,38,3.0,scattered clouds
105,Provideniya,RU,2022-07-20 21:34:34,64.3833,-173.3,46.51,76,75,20.13,broken clouds
106,Kutum,SD,2022-07-20 21:33:21,14.2,24.6667,75.13,61,87,6.29,light rain
107,Georgetown,MY,2022-07-20 21:27:09,5.4112,100.3354,80.89,90,20,1.14,few clouds
108,Carnarvon,AU,2022-07-20 21:26:06,-24.8667,113.6333,70.59,79,23,14.63,few clouds
109,Sesheke,ZM,2022-07-20 21:37:20,-17.4759,24.2968,58.68,74,42,4.7,scattered clouds
110,Vaini,TO,2022-07-20 21:30:57,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
111,Saint-Philippe,RE,2022-07-20 21:30:52,-21.3585,55.7679,65.79,78,45,13.69,scattered clouds
112,Boundiali,CI,2022-07-20 21:37:20,9.5217,-6.4869,69.87,98,100,4.81,light rain
113,Westport,US,2022-07-20 21:37:12,41.1415,-73.3579,97.63,45,0,10.36,clear sky
114,Praia,CV,2022-07-20 21:37:21,14.9215,-23.5087,79.34,78,75,8.05,broken clouds
115,Ribeira Grande,PT,2022-07-20 21:37:21,38.5167,-28.7,73.8,83,20,6.91,few clouds
116,Sao Joao Da Barra,BR,2022-07-20 21:37:22,-21.6403,-41.0511,73.49,90,8,9.95,clear sky
117,Kaliua,TZ,2022-07-20 21:37:22,-5.0606,31.7936,66.83,44,16,5.41,few clouds
118,Montepuez,MZ,2022-07-20 21:37:22,-13.1256,38.9997,58.98,96,0,4.94,clear sky
119,Avarua,CK,2022-07-20 21:30:46,-21.2078,-159.775,75.25,64,40,18.41,scattered clouds
120,Jaru,BR,2022-07-20 21:37:23,-10.4389,-62.4664,81.91,34,0,3.78,clear sky
121,Camacha,PT,2022-07-20 21:37:23,33.0833,-16.3333,69.22,73,75,10.36,broken clouds
122,Port Moresby,PG,2022-07-20 21:37:24,-9.4431,147.1797,76.3,87,97,2.39,overcast clouds
123,High Level,CA,2022-07-20 21:34:35,58.5169,-117.136,71.71,53,40,6.91,scattered clouds
124,Derzhavinsk,KZ,2022-07-20 21:30:49,51.1,66.3167,68.81,63,71,6.73,broken clouds
125,Kodiak,US,2022-07-20 21:32:10,57.79,-152.4072,54.91,82,0,8.05,clear sky
126,Bambous Virieux,MU,2022-07-20 21:34:30,-20.3428,57.7575,68.25,83,75,24.16,light intensity shower rain
127,Itapuranga,BR,2022-07-20 21:37:25,-15.5622,-49.9486,73.13,29,0,1.48,clear sky
128,Castro,BR,2022-07-20 21:33:19,-24.7911,-50.0119,59.2,89,1,4.68,clear sky
129,Bethel,US,2022-07-20 21:29:18,41.3712,-73.414,97.56,52,0,0.0,clear sky
130,Daru,PG,2022-07-20 21:37:25,-9.0763,143.2092,76.73,91,96,10.89,overcast clouds
131,Sao Jose Da Tapera,BR,2022-07-20 21:37:26,-9.5583,-37.3811,69.12,96,95,6.62,overcast clouds
132,Clyde River,CA,2022-07-20 21:30:58,70.4692,-68.5914,39.43,93,100,8.05,light rain
133,Sarangani,PH,2022-07-20 21:37:26,5.4033,125.4636,82.69,70,62,1.1,broken clouds
134,Pfarrkirchen,DE,2022-07-20 21:37:27,48.432,12.9381,75.69,68,100,16.62,overcast clouds
135,Tasiilaq,GL,2022-07-20 21:30:48,65.6145,-37.6368,42.96,81,66,1.19,broken clouds
136,Malinovoye Ozero,RU,2022-07-20 21:38:27,51.6753,79.7825,72.01,38,100,13.31,overcast clouds
137,Sisimiut,GL,2022-07-20 21:38:28,66.9395,-53.6735,44.67,92,100,2.04,light rain
138,Hermanus,ZA,2022-07-20 21:30:50,-34.4187,19.2345,51.57,68,1,3.44,clear sky
139,Niamey,NE,2022-07-20 21:38:28,13.5137,2.1098,84.49,61,0,3.44,clear sky
140,Onda,ES,2022-07-20 21:38:29,39.9667,-0.25,79.9,77,0,2.53,clear sky
141,Merzifon,TR,2022-07-20 21:38:29,40.8733,35.4631,51.26,76,0,4.61,clear sky
142,Beringovskiy,RU,2022-07-20 21:30:45,63.05,179.3167,43.59,73,99,17.16,overcast clouds
143,Leningradskiy,RU,2022-07-20 21:32:55,69.3833,178.4167,33.46,99,100,19.69,snow
144,Salgueiro,BR,2022-07-20 21:38:30,-8.0742,-39.1192,70.02,80,62,11.56,broken clouds
145,Muros,ES,2022-07-20 21:32:06,42.7762,-9.0603,68.09,79,5,11.97,clear sky
146,Aleksandrovsk-Sakhalinskiy,RU,2022-07-20 21:38:30,50.8975,142.1561,59.45,86,90,8.9,overcast clouds
147,Aykhal,RU,2022-07-20 21:38:31,66.0,111.5,52.66,63,100,3.8,overcast clouds
148,Sakakah,SA,2022-07-20 21:38:31,29.9697,40.2064,99.97,12,56,9.75,broken clouds
149,Kushmurun,KZ,2022-07-20 21:38:32,52.4503,64.6311,63.97,78,20,6.08,few clouds
150,Kirensk,RU,2022-07-20 21:38:32,57.7853,108.1119,56.79,91,65,2.91,broken clouds
151,Ponta Do Sol,PT,2022-07-20 21:38:32,32.6667,-17.1,73.71,81,5,7.23,clear sky
152,Vila Velha,BR,2022-07-20 21:38:33,-20.3297,-40.2925,73.35,82,0,9.22,clear sky
153,Mar Del Plata,AR,2022-07-20 21:32:01,-38.0023,-57.5575,60.94,53,40,3.0,scattered clouds
154,Thompson,CA,2022-07-20 21:33:20,55.7435,-97.8558,66.36,72,75,5.75,broken clouds
155,Evensk,RU,2022-07-20 21:38:33,61.95,159.2333,63.91,50,14,4.74,few clouds
156,Bonthe,SL,2022-07-20 21:38:34,7.5264,-12.505,75.22,87,100,10.47,overcast clouds
157,Sorland,NO,2022-07-20 21:38:34,67.667,12.6934,53.46,85,99,17.67,overcast clouds
158,Ziri,SI,2022-07-20 21:38:34,46.0422,14.1072,71.94,67,58,1.81,broken clouds
159,Khatanga,RU,2022-07-20 21:35:05,71.9667,102.5,45.61,68,100,20.24,overcast clouds
160,Ust-Omchug,RU,2022-07-20 21:38:35,61.15,149.6333,67.14,71,94,5.48,overcast clouds
